                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1056,                 1.8653,                 1.3719,                0.93519,                0.93877,                0.97629,                0.74048,                0.84184,                 1.6726,                 1.2862,             0.00054949,             0.00054949,             0.00054949
                      2,                0.94918,                 1.2084,                 1.2151,                0.96826,                0.99012,                0.99245,                0.79059,                0.74695,                 1.0373,                 1.1889,               0.001103,               0.001103,               0.001103
                      3,                 0.9375,                  1.002,                 1.1971,                0.99662,                      1,                0.99481,                0.76686,                0.86965,                 0.9822,                 1.2445,              0.0016542,              0.0016542,              0.0016542
                      4,                 0.9427,                0.89143,                 1.2096,                0.95699,                0.96799,                0.98823,                0.60933,                 1.2226,                 1.1934,                 1.5535,              0.0016571,              0.0016571,              0.0016571
                      5,                  0.891,                0.77616,                 1.1747,                0.95353,                0.98333,                0.99293,                0.74427,                0.98191,                0.74743,                 1.3223,              0.0016538,              0.0016538,              0.0016538
                      6,                0.86631,                0.68786,                 1.1413,                0.99937,                      1,                  0.995,                0.76558,                  0.829,                0.61775,                 1.2148,              0.0016505,              0.0016505,              0.0016505
                      7,                0.89505,                0.68886,                 1.1712,                0.98414,                      1,                 0.9949,                0.78487,                0.80736,                0.55162,                  1.183,              0.0016472,              0.0016472,              0.0016472
                      8,                 0.8364,                 0.6202,                 1.1352,                0.97108,                0.96869,                0.99043,                0.74997,                0.86344,                0.62286,                 1.2336,              0.0016439,              0.0016439,              0.0016439
                      9,                0.84188,                0.58971,                 1.1356,                0.99706,                      1,                  0.995,                0.74997,                0.91777,                0.48442,                 1.2863,              0.0016406,              0.0016406,              0.0016406
                     10,                0.82275,                0.55301,                 1.1265,                0.99953,                      1,                  0.995,                0.80291,                0.77169,                0.43924,                 1.1561,              0.0016373,              0.0016373,              0.0016373
                     11,                 0.8029,                0.53651,                 1.1149,                0.99818,                      1,                  0.995,                0.78765,                0.75794,                0.44144,                 1.1706,               0.001634,               0.001634,               0.001634
                     12,                0.78981,                0.51593,                 1.1063,                0.99831,                0.99466,                  0.995,                0.77057,                  0.821,                0.44682,                 1.1982,              0.0016307,              0.0016307,              0.0016307
                     13,                0.77399,                0.50226,                 1.0966,                0.99886,                      1,                  0.995,                0.75998,                0.88552,                 0.4697,                 1.2637,              0.0016274,              0.0016274,              0.0016274
                     14,                0.75255,                0.47403,                 1.0811,                0.99057,                      1,                  0.995,                 0.7923,                0.77469,                0.38745,                 1.1503,              0.0016241,              0.0016241,              0.0016241
                     15,                0.78517,                0.48426,                  1.099,                0.99938,                      1,                  0.995,                0.79462,                0.80215,                0.37357,                 1.1754,              0.0016208,              0.0016208,              0.0016208
                     16,                0.76552,                0.46871,                 1.0852,                0.99366,                0.99164,                  0.995,                0.76047,                0.88962,                0.43769,                 1.2427,              0.0016175,              0.0016175,              0.0016175
                     17,                0.76561,                0.45703,                 1.0885,                0.99768,                      1,                  0.995,                0.78999,                0.80725,                0.39765,                 1.1793,              0.0016142,              0.0016142,              0.0016142
                     18,                0.74607,                0.45878,                 1.0868,                0.98708,                      1,                0.99456,                0.74939,                0.91813,                0.44379,                 1.2802,              0.0016109,              0.0016109,              0.0016109
                     19,                0.74786,                0.44317,                 1.0786,                0.99885,                      1,                  0.995,                0.79004,                 0.8272,                0.38286,                 1.1921,              0.0016076,              0.0016076,              0.0016076
                     20,                0.74379,                0.44857,                 1.0859,                0.99563,                      1,                  0.995,                0.79132,                 0.8252,                 0.3818,                  1.208,              0.0016043,              0.0016043,              0.0016043
                     21,                0.72999,                0.43554,                 1.0755,                0.99967,                      1,                  0.995,                0.78902,                0.84865,                0.36653,                 1.2175,               0.001601,               0.001601,               0.001601
                     22,                0.71075,                0.42386,                 1.0609,                 0.9996,                0.99985,                  0.995,                0.79275,                  0.765,                0.36822,                 1.1593,              0.0015977,              0.0015977,              0.0015977
                     23,                0.73205,                0.42966,                 1.0785,                0.99878,                      1,                  0.995,                0.78523,                0.83339,                0.37869,                 1.1967,              0.0015944,              0.0015944,              0.0015944
                     24,                  0.728,                0.43137,                 1.0783,                0.99659,                      1,                  0.995,                0.79829,                0.76714,                0.35653,                 1.1517,              0.0015911,              0.0015911,              0.0015911
                     25,                0.73687,                 0.4245,                 1.0705,                0.99952,                      1,                  0.995,                0.79259,                0.79381,                 0.3589,                 1.1765,              0.0015878,              0.0015878,              0.0015878
                     26,                0.70078,                0.41592,                 1.0678,                0.99762,                      1,                  0.995,                 0.7536,                 0.9168,                0.41447,                 1.2878,              0.0015845,              0.0015845,              0.0015845
                     27,                 0.6924,                0.39533,                 1.0598,                0.99964,                      1,                  0.995,                 0.7931,                0.82615,                0.36304,                 1.1964,              0.0015812,              0.0015812,              0.0015812
                     28,                0.70569,                0.41602,                 1.0686,                0.99955,                      1,                  0.995,                0.78515,                0.80286,                0.35641,                  1.172,              0.0015779,              0.0015779,              0.0015779
                     29,                0.71321,                0.40877,                 1.0732,                0.99145,                0.99792,                0.99479,                0.77282,                0.82978,                0.37662,                 1.2122,              0.0015746,              0.0015746,              0.0015746
                     30,                0.67101,                0.38676,                 1.0462,                0.99756,                      1,                0.99492,                0.81879,                0.74641,                0.34331,                 1.1331,              0.0015713,              0.0015713,              0.0015713
                     31,                0.68163,                0.39127,                 1.0432,                 0.9994,                      1,                  0.995,                0.80453,                0.74546,                0.35522,                 1.1465,               0.001568,               0.001568,               0.001568
                     32,                0.67564,                0.38824,                 1.0555,                0.99765,                      1,                0.99488,                0.80381,                0.77652,                0.33152,                 1.1595,              0.0015647,              0.0015647,              0.0015647
                     33,                 0.6772,                0.38855,                 1.0372,                0.99967,                      1,                  0.995,                0.81047,                0.74656,                0.33499,                 1.1396,              0.0015614,              0.0015614,              0.0015614
                     34,                0.69037,                0.40465,                 1.0615,                0.99959,                      1,                  0.995,                0.79491,                0.81422,                0.33184,                 1.1845,              0.0015581,              0.0015581,              0.0015581
                     35,                0.66678,                0.38816,                 1.0465,                0.99972,                      1,                  0.995,                0.81067,                0.73814,                 0.3224,                 1.1215,              0.0015548,              0.0015548,              0.0015548
                     36,                0.67287,                0.40019,                 1.0487,                0.99965,                      1,                  0.995,                0.76699,                0.89362,                0.36128,                 1.2687,              0.0015515,              0.0015515,              0.0015515
                     37,                0.68167,                 0.3997,                  1.048,                0.99537,                      1,                  0.995,                0.79648,                0.81683,                0.35615,                 1.2195,              0.0015482,              0.0015482,              0.0015482
                     38,                 0.6486,                0.36206,                 1.0368,                0.99969,                      1,                  0.995,                0.77998,                 0.8438,                0.35904,                 1.2304,              0.0015449,              0.0015449,              0.0015449
                     39,                0.65807,                0.38163,                 1.0381,                0.99968,                      1,                  0.995,                0.80868,                0.75384,                0.32922,                  1.143,              0.0015416,              0.0015416,              0.0015416
                     40,                 0.6703,                0.38553,                 1.0534,                0.99803,                      1,                  0.995,                0.79755,                0.81823,                0.33236,                  1.202,              0.0015383,              0.0015383,              0.0015383
                     41,                0.66789,                0.37422,                 1.0497,                0.99924,                      1,                  0.995,                0.81495,                0.75627,                0.32793,                 1.1486,               0.001535,               0.001535,               0.001535
                     42,                0.65578,                 0.3795,                  1.037,                0.99969,                      1,                  0.995,                0.81561,                0.72879,                0.31224,                 1.1338,              0.0015317,              0.0015317,              0.0015317
                     43,                0.63564,                0.36382,                 1.0274,                0.99932,                      1,                  0.995,                0.80441,                0.78245,                0.32433,                 1.1709,              0.0015284,              0.0015284,              0.0015284
                     44,                0.63859,                0.34987,                 1.0268,                0.99347,                      1,                  0.995,                0.79994,                0.78768,                0.33527,                 1.1722,              0.0015251,              0.0015251,              0.0015251
